datetime_column,y_pred
2014-12-01,27.73337279953458
2014-12-02,31.237198203788864
2014-12-03,18.881148387942233
2014-12-04,31.457287697309994
2014-12-05,24.60182896048306
2014-12-06,22.93975844601397
2014-12-07,24.879369802753274
2014-12-08,23.864304657678588
2014-12-09,20.380573805458937
2014-12-10,20.16900710345942
2014-12-11,17.209211679637747
2014-12-12,22.032891977236773
2014-12-13,25.145169736165258
2014-12-14,25.4849723699337
2014-12-15,27.97668870534642
2014-12-16,16.858400587976604
2014-12-17,22.54599712976571
2014-12-18,25.812938132787025
2014-12-19,22.77970800952474
2014-12-20,25.841354097315985
2014-12-21,12.853966811460793
2014-12-22,11.143815858292754
2014-12-23,14.956976678791136
2014-12-24,17.701782193061888
2014-12-25,32.16751857800523
2014-12-26,34.116651192421386
2014-12-27,27.824905780530855
2014-12-28,28.94540522426979
2014-12-29,30.518327662255246
2014-12-30,29.63658176421515
2014-12-31,25.57285258825624
